rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
188,Merrimack,MAAC,18-15,-2.15,99.9,102.1,64.5,-0.002,-5.45,103.9,109.4,7.08
189,Rice,Amer,13-19,-2.3,106.3,108.6,65.4,-0.084,-2.26,105.2,107.5,-8.13
190,South Carolina State,MEAC,20-13,-2.4,102.6,105.0,69.2,-0.05,-8.65,102.6,111.3,0.35
191,UTSA,Amer,12-19,-2.44,107.2,109.7,69.9,-0.051,1.33,107.4,106.1,1.34
192,Miami FL,ACC,7-24,-2.5,113.5,116.0,67.5,-0.13,7.6,109.9,102.3,-2.51
193,Southern Illinois,MVC,14-19,-2.74,105.6,108.4,68.0,-0.025,1.14,108.3,107.1,2.34
194,Southeastern Louisiana,Slnd,18-14,-2.77,104.6,107.4,67.0,0.011,-3.96,104.6,108.5,-0.63
195,South Florida,Amer,13-19,-2.81,103.5,106.3,68.3,-0.047,0.32,108.1,107.8,-5.48
196,Texas State,SB,16-16,-2.99,109.4,112.4,66.0,-0.041,-2.91,104.3,107.2,-0.62
197,Elon,CAA,17-15,-3.0,107.4,110.4,65.1,-0.026,-3.5,105.0,108.5,-0.6
198,UNC Asheville,BSth,21-11,-3.06,109.0,112.1,68.2,0.123,-3.34,106.4,109.7,-0.68
199,Central Michigan,MAC,14-17,-3.09,105.4,108.4,67.2,-0.091,-2.42,106.1,108.6,11.43
200,Ohio,MAC,16-16,-3.11,106.1,109.2,70.3,-0.064,-3.8,106.1,109.9,-1.59
201,Indiana State,MVC,14-18,-3.24,109.1,112.3,72.3,-0.044,-0.17,106.4,106.5,-4.24
202,Youngstown State,Horz,21-13,-3.28,102.2,105.4,69.2,0.058,-4.89,105.1,110.0,-6.11
203,Queens,ASun,19-14,-3.28,106.3,109.6,68.5,0.052,-3.54,105.7,109.3,0.59
204,Southeast Missouri,OVC,21-12,-3.29,101.9,105.2,68.9,0.023,-7.48,101.8,109.3,3.7
205,Dartmouth,Ivy,14-14,-3.31,100.3,103.6,71.0,-0.057,-3.92,105.9,109.9,-6.61
206,Seton Hall,BE,7-25,-3.42,98.8,102.2,64.5,-0.042,9.91,112.1,102.1,-2.9
207,Portland State,BSky,19-13,-3.46,100.6,104.0,68.5,0.015,-4.59,105.8,110.4,-1.29
208,Brown,Ivy,14-13,-3.66,103.2,106.9,65.8,0.022,-3.76,105.6,109.4,-5.63
209,Northeastern,CAA,17-15,-3.7,103.7,107.4,67.4,0.019,-4.1,104.0,108.1,-3.64
210,Idaho State,BSky,15-15,-3.8,105.9,109.7,66.1,-0.059,-3.81,105.5,109.3,2.04
211,Longwood,BSth,18-14,-3.85,106.0,109.8,69.1,0.002,-4.13,106.3,110.4,-4.27
212,Valparaiso,MVC,15-19,-3.86,105.8,109.7,68.1,-0.001,0.06,106.5,106.5,-4.46
213,Quinnipiac,MAAC,20-13,-4.01,102.1,106.1,71.6,0.031,-6.97,101.9,108.9,-0.11
214,Massachusetts,A10,12-20,-4.13,102.3,106.5,70.3,-0.05,0.84,106.1,105.3,-3.67
215,Hampton,CAA,17-16,-4.13,103.8,107.9,65.6,-0.003,-2.62,106.4,109.0,0.14
216,Pepperdine,WCC,13-22,-4.23,106.4,110.6,69.1,-0.022,2.78,108.0,105.3,-4.13
217,SIUE,OVC,22-11,-4.31,101.9,106.2,65.9,0.052,-9.14,101.3,110.5,-3.57
218,Maine,AE,20-14,-4.35,100.1,104.5,65.9,0.002,-7.1,103.5,110.6,-3.82
219,Abilene Christian,WAC,16-16,-4.46,97.7,102.1,69.4,0.036,-1.28,104.4,105.6,0.83
220,Hofstra,CAA,15-18,-4.5,98.0,102.5,63.7,-0.047,-3.22,105.0,108.2,1.78
221,Campbell,CAA,15-17,-4.55,101.6,106.2,65.9,-0.058,-4.29,105.0,109.3,-4.31
222,La Salle,A10,14-19,-4.61,103.8,108.4,68.6,0.046,2.2,107.4,105.2,-1.31
223,Wright State,Horz,15-18,-4.67,109.5,114.2,67.5,-0.06,-3.42,106.0,109.4,0.45
224,Hawaii,BW,15-16,-4.72,103.2,107.9,65.9,0.025,-0.95,106.0,106.9,-2.5
225,Bucknell,PL,18-15,-4.89,102.8,107.7,67.3,0.009,-7.45,103.1,110.5,0.4
226,UT Arlington,WAC,13-18,-5.02,107.3,112.4,67.6,-0.035,-1.45,104.0,105.4,-0.38
227,Little Rock,OVC,19-14,-5.05,99.2,104.2,67.0,0.021,-7.82,101.7,109.5,2.01
228,Northwestern State,Slnd,16-16,-5.24,102.6,107.9,64.0,0.079,-0.35,106.2,106.5,11.6
229,Fordham,A10,12-21,-5.27,106.4,111.7,69.5,-0.003,1.68,106.5,104.9,-3.31
230,William & Mary,CAA,17-15,-5.31,107.3,112.6,71.3,0.048,-2.87,105.3,108.2,-1.29
231,Presbyterian,BSth,14-18,-5.39,104.5,109.9,64.2,-0.036,-2.62,107.0,109.6,-0.86
232,Delaware,CAA,16-20,-5.58,109.4,115.0,70.4,-0.017,-3.03,104.6,107.6,-1.56
233,Southern,SWAC,20-12,-5.68,99.0,104.7,68.6,0.053,-8.04,101.4,109.5,11.25
234,Northern Kentucky,Horz,17-16,-5.7,102.6,108.3,66.1,0.041,-2.91,105.9,108.9,3.25
235,Kansas City,Sum,13-20,-5.88,100.4,106.3,64.5,-0.108,-2.52,107.9,110.4,0.5
236,Manhattan,MAAC,17-13,-5.89,108.5,114.4,67.5,0.006,-8.65,101.1,109.7,-5.92
237,American,PL,22-12,-5.98,102.1,108.1,63.6,0.133,-7.14,103.3,110.4,1.6
238,Richmond,A10,10-22,-6.02,103.1,109.1,63.8,-0.026,2.47,107.7,105.2,-2.9
239,Cal St. Bakersfield,BW,14-19,-6.04,106.4,112.4,66.1,-0.02,-0.78,106.0,106.8,-2.23
240,Toledo,MAC,18-15,-6.13,112.1,118.2,68.0,0.117,-2.36,106.0,108.3,3.52
241,South Dakota,Sum,19-14,-6.14,109.3,115.4,74.7,0.101,-3.38,106.9,110.3,-4.12
242,UT Rio Grande Valley,Slnd,16-15,-6.18,104.7,110.9,70.5,0.007,-3.6,104.2,107.8,-0.42
243,Vermont,AE,21-12,-6.24,99.2,105.4,62.4,0.118,-7.14,103.0,110.2,-1.04
244,UMass Lowell,AE,17-15,-6.28,108.6,114.9,68.6,-0.021,-7.45,101.1,108.6,-3.86
245,Missouri State,MVC,9-23,-6.4,101.0,107.4,63.9,-0.104,0.79,108.6,107.8,-0.05
246,UC Davis,BW,15-17,-6.5,97.1,103.6,67.0,0.07,0.43,107.6,107.1,1.84
247,Northern Arizona,BSky,18-15,-6.53,104.3,110.8,66.9,0.004,-5.44,105.1,110.5,-4.98
248,Incarnate Word,Slnd,17-16,-6.57,106.0,112.6,64.2,-0.018,-5.49,103.0,108.5,-5.24
249,Jackson State,SWAC,16-18,-6.61,100.3,107.0,68.3,0.021,-4.87,103.5,108.4,16.21
250,Mount St. Mary's,MAAC,22-12,-6.67,100.2,106.9,67.4,0.147,-7.31,101.9,109.2,-1.23
251,Georgia Southern,SB,17-16,-6.98,102.7,109.6,69.5,0.064,-5.04,104.5,109.6,-3.12
252,Tennessee State,OVC,17-16,-7.29,102.2,109.5,70.4,-0.068,-8.57,100.9,109.4,-0.38
